,gdp,real_gdp,deflator
1947-01-01,243.164,2033.1438127090298,11.96
1947-04-01,245.968,2027.5987140384138,12.131
1947-07-01,249.585,2023.3887312525333,12.335
1947-10-01,259.745,2055.1072078487223,12.639
1948-01-01,265.742,2086.05071041683,12.739
1948-04-01,272.567,2120.4838960634825,12.854
1948-07-01,279.196,2132.569508096548,13.092
1948-10-01,280.366,2134.9832470301553,13.132
1949-01-01,275.034,2105.604042259991,13.062
1949-04-01,271.351,2098.453329208878,12.931
1949-07-01,272.889,2120.020198881293,12.872
1949-10-01,270.627,2102.283849918434,12.873
1950-01-01,280.828,2184.9218081381778,12.853
1950-04-01,290.383,2251.554625106614,12.897
1950-07-01,308.153,2338.567200424983,13.177
1950-10-01,319.945,2383.2029795158282,13.425
1951-01-01,336.0,2415.702063412179,13.909
1951-04-01,344.09,2457.4346521925436,14.002
1951-07-01,351.385,2508.1013561741615,14.01
1951-10-01,356.178,2513.606210303458,14.17
1952-01-01,359.82,2540.5634399491632,14.163
1952-04-01,361.03,2546.0507757404794,14.18
1952-07-01,367.701,2564.342004323872,14.339
1952-10-01,380.812,2648.5742105995273,14.378
1953-01-01,387.98,2697.865238856825,14.381
1953-04-01,391.749,2718.77992921091,14.409
1953-07-01,391.171,2703.32411886662,14.47
1953-10-01,385.97,2662.4129130164865,14.497
1954-01-01,385.345,2649.6940108643334,14.543
1954-04-01,386.121,2652.658697444353,14.556
1954-07-01,390.996,2682.648370497427,14.575
1954-10-01,399.734,2735.094081423195,14.615
1955-01-01,413.073,2813.273854117006,14.683
1955-04-01,421.532,2859.007053716766,14.744
1955-07-01,430.221,2897.6965043443124,14.847
1955-10-01,437.092,2914.918306102034,14.995
1956-01-01,439.746,2903.7638668779714,15.144
1956-04-01,446.01,2927.7274517526585,15.234
1956-07-01,451.191,2925.0632090761746,15.425
1956-10-01,460.463,2973.22270291212,15.487
1957-01-01,469.779,2992.2229299363057,15.7
1957-04-01,472.025,2985.61037318153,15.81
1957-07-01,479.49,3014.901911468813,15.904
1957-10-01,474.864,2983.751178133836,15.915
1958-01-01,467.54,2906.3218748057443,16.087
1958-04-01,471.978,2925.3625883227965,16.134
1958-07-01,485.841,2993.1062099556434,16.232
1958-10-01,499.555,3063.063339260531,16.309
1959-01-01,510.33,3121.8572215085333,16.347
1959-04-01,522.653,3192.3589054483264,16.372
1959-07-01,525.034,3194.6090660176455,16.435
1959-10-01,528.6,3203.8305351839513,16.499
1960-01-01,542.648,3275.6730653145,16.566
1960-04-01,541.08,3258.1441560787625,16.607
1960-07-01,545.604,3273.9513951395147,16.665
1960-10-01,540.197,3232.003111164294,16.714
1961-01-01,545.018,3253.8388059701497,16.75
1961-04-01,555.545,3308.982071594496,16.789
1961-07-01,567.664,3372.5285171102664,16.832
1961-10-01,580.612,3438.6259994077577,16.885
1962-01-01,594.013,3499.9587555974545,16.972
1962-04-01,600.366,3531.772457203365,16.999
1962-07-01,609.027,3575.1511593777523,17.035
1962-10-01,612.28,3586.877562975981,17.07
1963-01-01,621.672,3625.9667541557305,17.145
1963-04-01,629.752,3666.678311499272,17.175
1963-07-01,644.444,3747.203163158507,17.198
1963-10-01,653.938,3771.921324335237,17.337
1964-01-01,669.822,3851.3224471021163,17.392
1964-04-01,678.674,3893.265259293254,17.432
1964-07-01,692.031,3954.010970174837,17.502
1964-10-01,697.319,3966.321597178772,17.581
1965-01-01,717.79,4062.1958121109215,17.67
1965-04-01,730.191,4113.520365049856,17.751
1965-07-01,749.323,4205.191088164319,17.819
1965-10-01,771.857,4301.956303645078,17.942
1966-01-01,795.734,4406.7896106773,18.057
1966-04-01,804.981,4421.757758857457,18.205
1966-07-01,819.638,4459.158914096078,18.381
1966-10-01,833.302,4495.829511734556,18.535
1967-01-01,844.17,4535.622179239201,18.612
1967-04-01,848.983,4538.317207462447,18.707
1967-07-01,865.233,4581.345970560204,18.886
1967-10-01,881.439,4615.830540427314,19.096
1968-01-01,909.387,4709.897451833436,19.308
1968-04-01,934.344,4788.806314386757,19.511
1968-07-01,950.825,4825.787951073441,19.703
1968-10-01,968.03,4844.752514889145,19.981
1969-01-01,993.337,4920.6766731064545,20.187
1969-04-01,1009.02,4935.531207200157,20.444
1969-07-01,1029.956,4968.192561863874,20.731
1969-10-01,1038.147,4944.02800266692,20.998
1970-01-01,1051.2,4936.6018596787835,21.294
1970-04-01,1067.375,4943.610763744153,21.591
1970-07-01,1086.059,4989.2456817346565,21.768
1970-10-01,1088.608,4935.654697134566,22.056
1971-01-01,1135.156,5069.6976463757765,22.391
1971-04-01,1156.271,5097.0729556975975,22.685
1971-07-01,1177.675,5139.094955489614,22.916
1971-10-01,1190.297,5151.23988401783,23.107
1972-01-01,1230.609,5246.009890016199,23.458
1972-04-01,1266.369,5365.061006609049,23.604
1972-07-01,1290.566,5415.719681074277,23.83
1972-10-01,1328.904,5506.356178006132,24.134
1973-01-01,1377.49,5642.675733245946,24.412
1973-04-01,1413.887,5704.147335296728,24.787
1973-07-01,1433.838,5674.072022160665,25.27
1973-10-01,1476.289,5728.044853140884,25.773
1974-01-01,1491.209,5678.632901751714,26.26
1974-04-01,1530.056,5692.172619047619,26.88
1974-07-01,1560.026,5638.376463784878,27.668
1974-10-01,1599.679,5616.456007302858,28.482
1975-01-01,1616.116,5548.134161831851,29.129
1975-04-01,1651.853,5587.757932480888,29.562
1975-07-01,1709.82,5683.48623853211,30.084
1975-10-01,1761.831,5760.064733383463,30.587
1976-01-01,1820.487,5889.447122383618,30.911
1976-04-01,1852.332,5932.778169239638,31.222
1976-07-01,1886.558,5965.2121672041985,31.626
1976-10-01,1934.273,6008.551814115308,32.192
1977-01-01,1988.648,6079.447280731252,32.711
1977-04-01,2055.909,6197.7239840829625,33.172
1977-07-01,2118.473,6309.485942339767,33.576
1977-10-01,2164.27,6309.641118334742,34.301
1978-01-01,2202.76,6329.77011494253,34.8
1978-04-01,2331.633,6574.462145777526,35.465
1978-07-01,2395.053,6640.566168519699,36.067
1978-10-01,2476.949,6729.742433298919,36.806
1979-01-01,2526.61,6741.941509232576,37.476
1979-04-01,2591.247,6749.093608376309,38.394
1979-07-01,2667.565,6799.115563032064,39.234
1979-10-01,2723.883,6816.182873730042,39.962
1980-01-01,2789.842,6837.680449008603,40.801
1980-04-01,2797.352,6696.715503207891,41.772
1980-07-01,2856.483,6688.872497365649,42.705
1980-10-01,2985.557,6813.540097676754,43.818
1981-01-01,3124.206,6947.002579382727,44.972
1981-04-01,3162.532,6895.606480169199,45.863
1981-07-01,3260.609,6978.147070153662,46.726
1981-10-01,3280.818,6902.0448521058615,47.534
1982-01-01,3274.302,6794.849340084668,48.188
1982-04-01,3331.972,6825.853238824928,48.814
1982-07-01,3366.322,6799.826283682786,49.506
1982-10-01,3402.561,6802.537035926349,50.019
1983-01-01,3473.413,6892.102704526063,50.397
1983-04-01,3578.848,7049.0004136219495,50.771
1983-07-01,3689.179,7189.8403851026105,51.311
1983-10-01,3794.706,7339.856866537717,51.7
1984-01-01,3908.054,7483.396204737376,52.223
1984-04-01,4009.601,7612.684640212645,52.67
1984-07-01,4084.25,7686.119161428734,53.138
1984-10-01,4148.551,7749.086595935445,53.536
1985-01-01,4230.168,7824.226394155183,54.065
1985-04-01,4294.887,7893.126642530278,54.413
1985-07-01,4386.773,8013.688094846641,54.741
1985-10-01,4444.094,8073.271931258743,55.047
1986-01-01,4507.894,8148.612642576962,55.321
1986-04-01,4545.34,8185.229871603249,55.531
1986-07-01,4607.669,8263.691308870475,55.758
1986-10-01,4657.627,8307.992936391853,56.062
1987-01-01,4722.156,8369.945761990853,56.418
1987-04-01,4806.16,8460.20876973719,56.809
1987-07-01,4884.555,8533.613445378152,57.239
1987-10-01,5007.994,8680.117861166478,57.695
1988-01-01,5073.372,8725.079539787092,58.147
1988-04-01,5190.036,8839.670941699453,58.713
1988-07-01,5282.835,8891.416309012875,59.415
1988-10-01,5399.509,9009.84331458893,59.929
1989-01-01,5511.253,9101.535844631975,60.553
1989-04-01,5612.463,9170.990882054968,61.198
1989-07-01,5695.365,9238.973152729337,61.645
1989-10-01,5747.237,9257.195090522519,62.084
1990-01-01,5872.701,9358.289511425566,62.754
1990-04-01,5960.028,9392.23095954741,63.457
1990-07-01,6015.116,9398.47189887658,64.001
1990-10-01,6004.733,9312.984475084138,64.477
1991-01-01,6035.178,9269.345251808507,65.109
1991-04-01,6126.862,9341.579886257947,65.587
1991-07-01,6205.937,9388.851571128156,66.099
1991-10-01,6264.54,9421.494315105576,66.492
1992-01-01,6363.102,9534.308275521058,66.739
1992-04-01,6470.763,9637.71671134942,67.14
1992-07-01,6566.641,9732.97118634019,67.468
1992-10-01,6680.803,9834.544838956603,67.932
1993-01-01,6729.459,9850.920029862544,68.313
1993-04-01,6808.939,9908.379050917505,68.719
1993-07-01,6882.098,9955.586737646105,69.128
1993-10-01,7013.738,10090.983382490469,69.505
1994-01-01,7115.652,10188.942824004467,69.837
1994-04-01,7246.931,10327.088380311796,70.174
1994-07-01,7331.075,10387.34290207858,70.577
1994-10-01,7455.288,10506.324689966177,70.96
1995-01-01,7522.289,10543.688326979143,71.344
1995-04-01,7580.997,10575.13496170854,71.687
1995-07-01,7683.125,10665.08189894503,72.04
1995-10-01,7772.586,10737.544034149778,72.387
1996-01-01,7868.468,10817.845358556973,72.736
1996-04-01,8032.84,10998.315922066897,73.037
1996-07-01,8131.408,11096.959441017523,73.276
1996-10-01,8259.771,11212.155888581203,73.668
1997-01-01,8362.655,11284.568259408694,74.107
1997-04-01,8518.825,11472.083439945056,74.257
1997-07-01,8662.823,11615.633087062044,74.579
1997-10-01,8765.907,11715.368063722868,74.824
1998-01-01,8866.48,11832.54373907357,74.933
1998-04-01,8969.699,11942.083610704301,75.11
1998-07-01,9121.097,12091.653520342554,75.433
1998-10-01,9293.991,12286.975317618751,75.641
1999-01-01,9417.264,12403.21365540131,75.926
1999-04-01,9524.152,12498.723113869897,76.201
1999-07-01,9681.856,12662.310690277522,76.462
1999-10-01,9899.378,12877.574701130436,76.873
2000-01-01,10002.857,12924.255775492273,77.396
2000-04-01,10247.679,13160.828356771335,77.865
2000-07-01,10319.825,13178.338377453423,78.309
2000-10-01,10439.025,13260.451202316983,78.723
2001-01-01,10472.879,13222.664259380841,79.204
2001-04-01,10597.822,13299.978665461893,79.683
2001-07-01,10596.294,13244.705264736764,80.004
2001-10-01,10660.294,13280.876563512234,80.268
2002-01-01,10788.952,13396.93293432506,80.533
2002-04-01,10893.207,13478.188837059675,80.821
2002-07-01,10992.051,13538.008966179765,81.194
2002-10-01,11071.463,13558.996497415927,81.654
2003-01-01,11183.507,13634.266382200547,82.025
2003-04-01,11312.875,13751.580239710207,82.266
2003-07-01,11567.326,13985.063835960924,82.712
2003-10-01,11769.275,14145.593202004784,83.201
2004-01-01,11920.169,14221.151276544979,83.82
2004-04-01,12108.987,14329.483811417209,84.504
2004-07-01,12303.34,14464.987772761475,85.056
2004-10-01,12522.425,14609.88543027814,85.712
2005-01-01,12761.337,14771.604681043164,86.391
2005-04-01,12910.022,14839.788036231554,86.996
2005-07-01,13142.873,14972.00255174692,87.783
2005-10-01,13332.316,15066.63653109426,88.489
2006-01-01,13603.933,15266.963313768842,89.107
2006-04-01,13749.806,15302.726706138983,89.852
2006-07-01,13867.469,15326.387860434786,90.481
2006-10-01,14037.228,15456.948741947914,90.815
2007-01-01,14208.569,15493.271034151874,91.708
2007-04-01,14382.363,15582.022946663634,92.301
2007-07-01,14535.003,15666.770500991637,92.776
2007-10-01,14681.501,15761.985077030437,93.145
2008-01-01,14651.039,15671.404122410124,93.489
2008-04-01,14805.611,15752.325779338229,93.99
2008-07-01,14835.187,15667.110571338051,94.69
2008-10-01,14559.543,15328.093613795716,94.986
2009-01-01,14394.547,15155.983616913747,94.976
2009-04-01,14352.85,15134.070731141526,94.838
2009-07-01,14420.312,15189.188733699888,94.938
2009-10-01,14628.021,15356.051396718422,95.259
2010-01-01,14721.35,15415.187593587367,95.499
2010-04-01,14926.098,15557.255870673214,95.943
2010-07-01,15079.917,15672.00536259899,96.222
2010-10-01,15240.843,15750.692930148922,96.763
2011-01-01,15285.828,15712.7432336585,97.283
2011-04-01,15496.189,15825.033189681584,97.922
2011-07-01,15591.85,15820.776637951156,98.553
2011-10-01,15796.46,16004.03229891695,98.703
2012-01-01,16019.758,16129.438179621426,99.32
2012-04-01,16152.257,16198.747405052502,99.713
2012-07-01,16257.151,16220.654527313545,100.225
2012-10-01,16358.863,16239.180241619266,100.737
2013-01-01,16569.591,16382.988758045858,101.139
2013-04-01,16637.926,16403.196261497964,101.431
2013-07-01,16848.748,16531.67055868443,101.918
2013-10-01,17083.137,16663.71138445331,102.517
2014-01-01,17104.555,16616.527584833442,102.937
2014-04-01,17432.909,16841.437707705387,103.512
2014-07-01,17721.657,17047.10312917841,103.957
2014-10-01,17849.912,17143.101908319968,104.123
2015-01-01,18003.399,17305.802116676758,104.031
2015-04-01,18223.577,17422.824008566295,104.596
2015-07-01,18347.425,17486.061605321844,104.926
2015-10-01,18378.803,17514.1303829917,104.937
2016-01-01,18470.156,17613.27039527011,104.865
2016-04-01,18656.207,17668.20118948405,105.592
2016-07-01,18821.359,17764.378480415293,105.95
2016-10-01,19032.58,17876.17052851065,106.469
2017-01-01,19237.435,17977.231099897206,107.01
2017-04-01,19379.232,18054.06372275014,107.34
2017-07-01,19617.288,18185.70898843073,107.872
2017-10-01,19937.963,18359.420062984587,108.598
2018-01-01,20242.215,18530.548257458555,109.237
2018-04-01,20552.653,18654.382987220448,110.176
2018-07-01,20742.723,18752.34870812013,110.614
2018-10-01,20909.853,18813.97606622278,111.14
2019-01-01,21115.309,18950.41373492246,111.424
2019-04-01,21329.877,19020.587474697033,112.141
2019-07-01,21540.325,19141.680959024623,112.531
2019-10-01,21747.394,19254.000885347497,112.95
2020-01-01,21561.139,19010.8354274126,113.415
2020-04-01,19520.114,17302.457962895664,112.817
2020-07-01,21170.252,18596.496837666902,113.84
2020-10-01,21479.529,18780.24446329116,114.373
